E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.628064032016008,761.5437474315562,1.5535057554748638e-32,1.9296753607943636e-32,2.540670539718645e-32
1.6300650325162582,760.6089077845634,2.23246192221565e-32,2.5261870098803874e-32,2.9834071421692205e-32
1.6320660330165082,759.6763604646743,2.4943959356656345e-32,2.6537884640374654e-32,2.8860420389296526e-32
1.6340670335167584,758.7460970506658,2.283285664545906e-32,2.291837459007291e-32,2.3035750678997683e-32
1.6360680340170084,757.8181091625133,1.6998389893289377e-32,1.6836994052759927e-32,1.6595250953892745e-32
1.6380690345172586,756.892388461139,7.966566004467664e-33,7.890925274698781e-33,7.777628523339392e-33
1.6400700350175088,755.9689266481622,0.0,0.0,0.0
1.6420710355177588,755.0477154656512,0.0,0.0,0.0
1.644072036018009,754.128746695877,0.0,0.0,0.0
1.6460730365182592,753.2120121610697,3.606419447330328e-36,2.92735440611306e-35,1.1188853296997437e-34
1.6480740370185092,752.2975037231749,3.6333302535062e-35,2.9491980846372843e-34,1.127234360277112e-33
1.6500750375187594,751.3852132836137,6.987875685795573e-34,2.3263705193999866e-33,5.49047271291118e-33
1.6520760380190094,750.4751327830431,1.5333422768410962e-33,4.789136686184968e-33,1.0520595939426111e-32
1.6540770385192596,749.567254201119,3.682758249467008e-33,7.956473427741391e-33,1.5180785229501012e-32
1.6560780390195098,748.6615695562604,1.499423789835821e-32,1.9390325144153201e-32,2.660900429247631e-32
1.6580790395197598,747.7580709054156,2.3620722403230172e-32,2.729702501155641e-32,3.312481332965853e-32
1.66008004002001,746.85675034383,2.7852285944161874e-32,3.0089587018857304e-32,3.3382765905897955e-32
1.6620810405202602,745.9576000048156,2.683028658296333e-32,2.7407100849217815e-32,2.8241595350740927e-32
1.6640820410205102,745.060612059522,2.1172605231962276e-32,2.097157616750013e-32,2.0670469343148093e-32
1.6660830415207604,744.1657787167092,1.1800928450108839e-32,1.168888132222262e-32,1.1521054073233264e-32
1.6680840420210106,743.273092222522,5.997642498282245e-36,5.940696248767898e-36,5.8554006006192076e-36
1.6700850425212606,742.3825448602665,0.0,0.0,0.0
1.6720860430215108,741.4941289501869,0.0,0.0,0.0
1.674087043521761,740.6078368492454,0.0,0.0,0.0
1.676088044022011,739.7236609509029,2.887844466622373e-35,2.344082363961894e-34,8.959486979669664e-34
1.6780890445222612,738.8415936849008,5.05593972893323e-34,1.7711290551735306e-33,4.397995373136759e-33
1.6800900450225114,737.9616275170462,1.5125941957905803e-33,4.76394358298464e-33,1.0569903299177546e-32
1.6820910455227613,737.0837549489962,2.247961229658065e-33,6.898765935188908e-33,1.4831664952589692e-32
1.6840920460230115,736.2079685180454,1.3902491196441976e-32,1.8978667976471936e-32,2.7396827884297836e-32
1.6860930465232615,735.3342607969144,2.4635768907548192e-32,2.915621064155454e-32,3.6433153505083377e-32
1.6880940470235117,734.4626243935397,3.081907945651082e-32,3.3905692870433855e-32,3.8625141470874734e-32
1.690095047523762,733.5930519508657,3.120292999099465e-32,3.2402626025177427e-32,3.414654106333746e-32
