r_ocl_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.65,1.0,90.0,74,0.007536969896703726,-536.2035575135266,-536.7737533545344,-536.7927539981976,3.6923522182222532,"A""",1.0584039787398163,3.611942875256524,0.9489,ok,105.91
1.4,0.8,75.0,74,0.006663295630071809,-536.0531551336268,-536.6110318742175,-536.6272970151263,4.897862582060376,"A""",1.0294408580955823,3.2461495635739865,0.958,ok,105.93
1.45,1.2,80.0,74,0.00815839900121618,-536.1018000741099,-536.6755078949074,-536.6943400428282,3.5667464685580015,"A""",0.6309546489351343,2.240598967371164,0.9435,ok,106.45
1.4,0.95,115.0,74,0.006588363415161084,-536.162063025433,-536.7199973866259,-536.7361032731903,4.867430834770695,"A""",1.0102315837164992,2.4457045251143765,0.9558,ok,106.55
1.5,1.05,95.0,74,0.007153325849746906,-536.1808656302633,-536.7471942620082,-536.7649123128285,4.443429190120758,"A""",1.0394511517521283,2.1753204376826907,0.9524,ok,107.21
1.45,0.8,130.0,74,0.006362401024847572,-536.1455251513072,-536.6996126264293,-536.71532150363,4.911771331473185,"A""",0.7429145750979306,3.3325524619964586,0.9576,ok,107.95
1.4,1.15,90.0,74,0.007520036534247758,-536.1088421612563,-536.676981277508,-536.6945982248745,3.8223461614783445,"A""",0.8165562349807762,2.313461928478681,0.9454,ok,108.12
1.7,1.05,80.0,74,0.008162814986822428,-536.1842577148367,-536.7604296663898,-536.7807217783205,3.295752308483903,"A""",1.0210633626911263,3.571413071519396,0.946,ok,109.36
1.55,0.9,110.0,74,0.006769507914580106,-536.2067063779269,-536.7672110170059,-536.7842932737706,4.360689557552269,"A""",1.0136146388171814,3.5766030515834832,0.9538,ok,110.03
1.8,0.95,90.0,74,0.008314486309051855,-536.2005288410911,-536.7743296723664,-536.7947204004124,2.736118315807037,"A""",1.0416300946200197,2.963251762539552,0.9422,ok,113.37
1.75,0.9,100.0,74,0.00772974775778685,-536.2069115887892,-536.7754640154459,-536.7947180793357,3.0653142203853783,"A""",1.0212986405643405,3.250490426796504,0.9451,ok,115.58
1.7,0.85,105.0,74,0.007297797691780568,-536.200984633805,-536.7652581407109,-536.783606400533,3.401628284983792,"A""",1.0043397298212806,3.5986775164819904,0.9479,ok,117.09
1.5,0.85,120.0,74,0.0065282664664760735,-536.1855625424803,-536.7424723061667,-536.7588162205527,4.64322482125771,"A""",0.906247762775493,3.499553033527782,0.9558,ok,122.96
1.75,1.1,75.0,74,0.008940475456785092,-536.1669135170592,-536.7481668407526,-536.7696863863215,2.9169735177597826,"A""",0.991755345355474,3.3097535829895532,0.9433,ok,129.71
1.7,1.2,120.0,74,0.009641090902111193,-536.1644577531941,-536.7429283425324,-536.7634254932951,2.9042088912604953,"A""",0.960092772840785,2.8600918933307757,0.9432,ok,138.19
1.9,1.2,110.0,74,0.010674914994706264,-536.146315854648,-536.7342188215237,-536.7574692523385,1.988906370753301,"A""",0.943310508805015,2.354122153731814,0.9341,ok,63.95
1.75,1.25,115.0,74,0.010187661665879257,-536.151164533047,-536.7342847347219,-536.7557951837593,2.6740866700459573,"A""",0.9986317303389485,2.643811320123281,0.9406,ok,148.56
