cut,r_ocl,r_oh,angle,t1_s,e_ccsdt,omega,root0_sym,gap_any,gap_app,w1,conv,wall,note
bend,1.6891,0.9644,80.0,0.007801683403125411,-536.7840137100974,3.3841957166390197,"A""",1.0582384829390088,3.761588448456203,0.9471627331279542,True,24.989304542541504,
bend,1.6891,0.9644,85.0,0.007696216935110677,-536.7908350578273,3.4224930200539303,"A""",1.065345063044818,3.737575835017467,0.9473721755544816,True,25.45156478881836,
bend,1.6891,0.9644,90.0,0.007620270496682614,-536.7958083977045,3.4459779947346627,"A""",1.0659519310070948,3.7136602515299457,0.9475278462004207,True,27.197060108184814,
bend,1.6891,0.9644,95.0,0.007572709295845632,-536.7990476826807,3.453852314654925,"A""",1.0593784140966223,3.689506401297985,0.947628835308392,True,25.896122932434082,
bend,1.6891,0.9644,100.0,0.007553181289441201,-536.800665175301,3.445213498632583,"A""",1.0448287601971855,3.665275754091871,0.9476779484489652,True,23.202397346496582,
bend,1.6891,0.9644,102.96,0.007554749352701167,-536.8009028937297,3.43198157726821,"A""",1.0321273676413418,3.651032770581595,0.9476844346264379,True,24.495563745498657,
bend,1.6891,0.9644,105.0,0.00756151183453508,-536.8007693407399,3.4192580981987044,"A""",1.0215004578740345,3.641318579405491,0.9476798499478377,True,25.214701175689697,
bend,1.6891,0.9644,110.0,0.007597880005355695,-536.7994629283344,3.375440152027656,"A""",0.9886776643184325,3.618046139112341,0.9476399950439665,True,24.87532353401184,
bend,1.6891,0.9644,115.0,0.007663045952186881,-536.7968454250048,3.313595151307378,"A""",0.9458010327680035,3.595838219229399,0.9475639559680583,True,27.804534435272217,
bend,1.6891,0.9644,120.0,0.007759112657430448,-536.7930192391264,3.2340352907809384,"A""",0.8925177201309998,3.575026433112975,0.947457115284022,True,26.75071907043457,
bend,1.6891,0.9644,125.0,0.007888496306257804,-536.7880962887335,3.137615893138881,"A""",0.8287420836512298,3.5558982236956225,0.9473247758300214,True,26.106874704360962,
bend,1.6891,0.9644,130.0,0.00805331067690147,-536.7822030883215,3.0257748419296013,"A""",0.7547522926400106,3.538722671936706,0.9471723293048293,True,24.874865770339966,
bend,1.6891,0.9644,135.0,0.008255059025867996,-536.7754849054296,2.9005543456801,"A""",0.6713297196770992,3.5237796780381667,0.9470054610591717,True,24.316221952438354,
corner,1.6,0.85,85.0,0.007014448801714034,-536.763321516567,4.035886015352076,"A""",1.1052927035778206,4.266586163915411,0.951889563563664,True,22.161925792694092,
corner,1.6,0.85,120.0,0.006875266002409588,-536.7742693875308,3.9722355388001507,"A""",0.8805029117213593,4.209467824996989,0.9522956838874219,True,21.01007056236267,
corner,1.6,1.1,85.0,0.007798198012821621,-536.7702111203967,3.9141870624110626,"A""",0.987571446905073,2.38274398991595,0.9492739224249632,True,21.111743688583374,
corner,1.6,1.1,120.0,0.008067105797454392,-536.7785156046076,3.6428794409976715,"A""",0.9574380671035493,2.968273082391397,0.9487490960961027,True,26.01185131072998,
corner,1.85,0.85,85.0,0.008586108423445704,-536.7713378789654,2.432592795331866,"A""",1.041430410229377,2.693535265738059,0.9397126059028658,True,20.45933437347412,
corner,1.85,0.85,120.0,0.008577450164488744,-536.7650777288835,2.2626861450221996,"A""",0.7864615115377908,2.57289493199338,0.9392550949240603,True,20.854005813598633,
corner,1.85,1.1,85.0,0.009397592291196832,-536.7788699758607,2.395738838381341,"A""",1.0160651480123615,2.691007226748221,0.9386845103397584,True,24.916854858398438,
corner,1.85,1.1,120.0,0.009971549630316566,-536.7719943138139,2.1363328592843196,"A""",0.8705928802838632,2.579069235779808,0.9374609820668887,True,21.258170127868652,
