==============================================================================
== HOX Phase 2 -- 3D CCSD(T) + EOM-CCSD raster for HOBr
==============================================================================
  r(O-Br) 1.55-2.45 A, 19 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2470 geometries, cc-pvtz-dk, 5 EOM roots
  estimate 329 CPU-hours = 11.0 h on 30 workers at 480 s/point
  40 already in /home/johan/projects/strix-halo-photodissociation-dynamics/HOX/HOBr/data/hobr_pes_raster.csv, 2430 to run

  1410/2430  ok=1410 warn=0 bad=0  254 pts/h  eta 240.5 min
  1420/2430  ok=1420 warn=0 bad=0  254 pts/h  eta 238.5 min
  1430/2430  ok=1430 warn=0 bad=0  255 pts/h  eta 235.6 min
  1440/2430  ok=1440 warn=0 bad=0  255 pts/h  eta 233.4 min
  1450/2430  ok=1450 warn=0 bad=0  254 pts/h  eta 231.5 min
  1460/2430  ok=1460 warn=0 bad=0  254 pts/h  eta 229.0 min
  1470/2430  ok=1470 warn=0 bad=0  255 pts/h  eta 226.2 min
  1480/2430  ok=1480 warn=0 bad=0  254 pts/h  eta 224.5 min
  1490/2430  ok=1490 warn=0 bad=0  255 pts/h  eta 221.5 min
  1500/2430  ok=1500 warn=0 bad=0  254 pts/h  eta 219.3 min
  1510/2430  ok=1510 warn=0 bad=0  254 pts/h  eta 217.7 min
  1520/2430  ok=1520 warn=0 bad=0  254 pts/h  eta 215.0 min
  1530/2430  ok=1530 warn=0 bad=0  254 pts/h  eta 212.2 min
  1540/2430  ok=1540 warn=0 bad=0  253 pts/h  eta 210.9 min
  1550/2430  ok=1550 warn=0 bad=0  254 pts/h  eta 208.0 min
  1560/2430  ok=1560 warn=0 bad=0  254 pts/h  eta 205.3 min
  1570/2430  ok=1570 warn=0 bad=0  253 pts/h  eta 203.6 min
  1580/2430  ok=1580 warn=0 bad=0  254 pts/h  eta 201.1 min
  1590/2430  ok=1590 warn=0 bad=0  254 pts/h  eta 198.5 min
  1600/2430  ok=1600 warn=0 bad=0  253 pts/h  eta 196.6 min
