r1_A,r2_A,theta_deg,nbf,e_hf_Ha,e_ccsd_t_Ha,t1_diag,status,wall_s
0.8282758463094337,0.7871730137334912,55.0,92,-75.88527203343774,-76.16057236941393,0.008323241442924064,ok,10.13
0.8730626691931039,0.7138970767665203,55.0,92,-75.83333144157032,-76.10793637101938,0.008251381038889566,ok,10.18
0.8730626691931039,0.7871730137334912,55.0,92,-75.90407371613912,-76.18115323788867,0.008714429205533631,ok,10.28
0.9222594660307525,0.7491939040506499,55.0,92,-75.88561140881723,-76.1634383193376,0.008937257680638527,ok,9.17
0.9222594660307525,0.9222594660307525,55.0,92,-75.96904736955123,-76.25325281506066,0.010420917872216086,ok,9.27
0.9222594660307525,0.7138970767665203,55.0,92,-75.8467754459616,-76.1234633969848,0.008733448112839014,ok,9.7
0.9768305109495515,0.65,55.0,92,-75.75107492247312,-76.02828454535819,0.009048007783595685,ok,9.7
0.9222594660307525,0.7871730137334912,55.0,92,-75.91669156110078,-76.19581084320832,0.009194187430408835,ok,9.75
0.9768305109495515,0.6809285230878754,55.0,92,-75.80728902102678,-76.08537466629755,0.009167629242141734,ok,9.65
0.9768305109495515,0.7871730137334912,55.0,92,-75.92345597624826,-76.20492162058208,0.009782870723900149,ok,9.56
0.9768305109495515,0.7138970767665203,55.0,92,-75.85427282472754,-76.13334968755363,0.00932392711999697,ok,9.85
0.9222594660307525,0.8282758463094337,55.0,92,-75.94061575695973,-76.22120672455829,0.009516290906267362,ok,9.98
0.9222594660307525,0.8730626691931039,55.0,92,-75.95791492558175,-76.2401887047814,0.009918774985580471,ok,10.08
0.9768305109495515,0.9222594660307525,55.0,92,-75.9743875845246,-76.26081948931974,0.011047302291189246,ok,9.84
1.0380956121167133,0.6809285230878754,55.0,92,-75.80929480911662,-76.09015749162171,0.009897612998793213,ok,9.83
0.9768305109495515,0.8282758463094337,55.0,92,-75.9469378447473,-76.2298442513447,0.010109928921567956,ok,9.92
0.9768305109495515,0.7491939040506499,55.0,92,-75.8927702709889,-76.17296752380999,0.009525420967527688,ok,10.02
1.0380956121167133,0.65,55.0,92,-75.75324643170661,-76.03324314333888,0.009783930029367314,ok,9.93
0.9768305109495515,0.8730626691931039,55.0,92,-75.96375770095669,-76.24830743978475,0.0105239822845109,ok,9.96
1.0380956121167133,0.7138970767665203,55.0,92,-75.85605163129136,-76.13789176532896,0.010049092547614545,ok,9.93
1.0380956121167133,0.7491939040506499,55.0,92,-75.8942610025531,-76.17720294308805,0.010248052278858347,ok,10.05
1.0380956121167133,0.7871730137334912,55.0,92,-75.92459995627372,-76.20878538265302,0.010506975350839182,ok,10.07
0.9768305109495515,0.9768305109495515,55.0,92,-75.97921837028558,-76.26781576665734,0.011708599229662513,ok,10.18
1.1079297093491922,0.7491939040506499,55.0,92,-75.89019849536224,-76.1763703423731,0.011141212677321898,ok,9.69
1.0380956121167133,0.8730626691931039,55.0,92,-75.96405560503717,-76.25124787064674,0.011273877828075412,ok,10.11
1.0380956121167133,0.9768305109495515,55.0,92,-75.97853812638343,-76.26964581505354,0.012545342858631967,ok,9.86
1.0380956121167133,0.9222594660307525,55.0,92,-75.97420580369254,-76.2632225539756,0.01182989699439248,ok,9.96
1.1079297093491922,0.7138970767665203,55.0,92,-75.85223121197518,-76.1373211349537,0.010944930015298981,ok,9.85
1.1079297093491922,0.7871730137334912,55.0,92,-75.92023754896061,-76.20762560233759,0.011402886706457626,ok,9.78
1.1079297093491922,0.6809285230878754,55.0,92,-75.805658469683,-76.0897853464999,0.010799113839772742,ok,9.94
1.0380956121167133,0.8282758463094337,55.0,92,-75.9476815014225,-76.23327446209055,0.010841983079075334,ok,10.43
1.1079297093491922,0.65,55.0,92,-75.74973782398146,-76.03300909477488,0.010692498710714295,ok,10.07
1.0380956121167133,1.0380956121167133,55.0,92,-75.97735915903536,-76.27088174694005,0.013466758342648308,ok,10.19
1.1079297093491922,0.8730626691931039,55.0,92,-75.95893360869123,-76.24924063202315,0.012208016166311755,ok,9.25
1.1079297093491922,0.8282758463094337,55.0,92,-75.94296403422037,-76.2317223727202,0.011749745651247617,ok,9.51
1.1079297093491922,0.9222594660307525,55.0,92,-75.96863912496224,-76.26070229905653,0.012812366515610445,ok,9.54
1.1079297093491922,1.0380956121167133,55.0,92,-75.9708419878054,-76.26719803060028,0.014657598449933107,ok,9.81
1.1079297093491922,0.9768305109495515,55.0,92,-75.97250023722091,-76.26656286988248,0.013608601366424177,ok,9.99
1.1079297093491922,1.1079297093491922,55.0,92,-75.9638599072751,-76.26288906645804,0.0160419857136867,ok,9.99
1.1891257633877539,0.7138970767665203,55.0,92,-75.84278680942057,-76.13180759346383,0.012065283151365437,ok,9.8
1.1891257633877539,0.6809285230878754,55.0,92,-75.79636493052668,-76.08444004228613,0.011925776544820795,ok,9.85
1.1891257633877539,0.65,55.0,92,-75.74054442378359,-76.02777735413272,0.011827271454352611,ok,10.06
1.1891257633877539,0.7491939040506499,55.0,92,-75.88054979578989,-76.17062930648386,0.012259121237946632,ok,9.83
1.1891257633877539,0.9222594660307525,55.0,92,-75.95765166575487,-76.2534061709593,0.014059314068441079,ok,9.75
1.1891257633877539,0.7871730137334912,55.0,92,-75.9103298625804,-76.20159405017678,0.012525573868684496,ok,10.04
1.1891257633877539,0.8282758463094337,55.0,92,-75.93274360750438,-76.22533482668844,0.012889676894526896,ok,10.0
1.1891257633877539,0.8730626691931039,55.0,92,-75.94835063733436,-76.24243098476923,0.013385545433343832,ok,10.17
1.286113197827046,0.7871730137334912,55.0,92,-75.89461726893211,-76.19078106099133,0.013969318744968108,ok,9.79
1.286113197827046,0.65,55.0,92,-75.72544247035489,-76.0176904551163,0.01327910389373764,ok,10.04
1.286113197827046,0.8282758463094337,55.0,92,-75.91675223195742,-76.21419106887866,0.014358323880182782,ok,10.0
1.286113197827046,0.8730626691931039,55.0,92,-75.93203188079035,-76.23088883339797,0.01490705794788755,ok,10.03
1.1891257633877539,1.0380956121167133,55.0,92,-75.9589772357275,-76.25875789337815,0.016208963186114745,ok,10.53
1.1891257633877539,0.9768305109495515,55.0,92,-75.96107917982613,-76.25872054112315,0.014972849678324667,ok,10.54
1.286113197827046,0.6809285230878754,55.0,92,-75.78118223494018,-76.07425101417307,0.013368776512209364,ok,10.38
1.286113197827046,0.7491939040506499,55.0,92,-75.86506447209399,-76.16008258133522,0.013694622405236606,ok,10.35
1.286113197827046,0.7138970767665203,55.0,92,-75.82747740663466,-76.12146711572613,0.013501984302933236,ok,10.42
1.1891257633877539,1.1891257633877539,55.0,92,-75.93889294331404,-76.24406542603187,0.02014143759032407,high_t1,10.63
1.286113197827046,1.0380956121167133,55.0,92,-75.94149082394337,-76.2456183898418,0.01826531743204682,ok,10.29
1.1891257633877539,1.1079297093491922,55.0,92,-75.95156717943298,-76.2538107322575,0.017879572005136353,ok,10.9
1.286113197827046,0.9768305109495515,55.0,92,-75.94399535149657,-76.2461771432681,0.016759386178104064,ok,10.47
1.286113197827046,1.1891257633877539,55.0,92,-75.92072344408584,-76.22958564218834,0.02323091711919294,high_t1,10.27
1.286113197827046,0.9222594660307525,55.0,92,-75.94096427499025,-76.24139691486937,0.015678668413115503,ok,10.57
1.286113197827046,1.1079297093491922,55.0,92,-75.93370424029179,-76.24002198735745,0.02035176246042382,high_t1,10.92
1.286113197827046,1.286113197827046,55.0,92,-75.90236942187157,-76.21438098892662,0.027211666253038672,high_t1,8.83
1.4065542823824804,0.6809285230878754,55.0,92,-75.75948726339898,-76.05931413619967,0.015310643868614592,ok,8.77
1.4065542823824804,0.65,55.0,92,-75.70381183833894,-76.00285488106009,0.015230017222815485,ok,9.1
1.4065542823824804,0.7138970767665203,55.0,92,-75.80567499860581,-76.10638323415903,0.015439054419869295,ok,9.91
1.4065542823824804,0.7491939040506499,55.0,92,-75.8431076271421,-76.14479982331247,0.01563412370265727,ok,10.31
1.4065542823824804,0.8282758463094337,55.0,92,-75.89433483767003,-76.1983292697106,0.016349852238108722,ok,10.31
1.4065542823824804,0.7871730137334912,55.0,92,-75.8724558809225,-76.17524109550605,0.01592389045448147,ok,10.66
1.4065542823824804,0.8730626691931039,55.0,92,-75.90930883975015,-76.21463505121588,0.016972967227662058,ok,10.64
1.4065542823824804,0.9222594660307525,55.0,92,-75.91789298949708,-76.22467709386552,0.017880844337250835,ok,11.12
