r1_A,r2_A,theta_deg,nbf,ncas,nelecas,e_gs_casscf_Ha,e_ex_casscf_Ha,e_gs_nevpt2_Ha,e_ex_nevpt2_Ha,mu_x,mu_y,mu_z,mu_abs,status,wall_s
0.9730484681624365,0.8682146206261605,55.0,92,6,8,-75.9835165754818,-75.7356487860165,-76.2251183699085,-75.95154445581944,-0.284672163894752,-1.291562627063397e-15,2.1871820250609914e-16,0.284672163894752,ok,27.35
1.0990821169362144,0.9184360891594576,55.0,92,6,8,-76.00674303870875,-75.78242480225896,-76.23830242425696,-75.99644294714061,0.19855547289061246,1.0275443497820757e-15,-1.4294455744501257e-15,0.19855547289061246,ok,9.46
1.0990821169362144,0.8682146206261605,55.0,92,6,8,-75.9940423245244,-75.76835432731016,-76.22585952234488,-75.98124092672079,-0.20122174896668218,-4.0409534113294433e-16,5.2001567886236565e-16,0.20122174896668218,ok,13.44
1.0990821169362144,0.9730484681624365,55.0,92,6,8,-76.01370685143169,-75.79178546516853,-76.24477083902629,-76.00720306746382,0.1951608383905518,1.837094579733429e-15,6.801098533634575e-16,0.1951608383905518,ok,9.61
0.9730484681624365,0.7784650775728821,55.0,92,6,8,-75.9346157055071,-75.6843648831042,-76.17702562575154,-75.89785798287478,0.31201110340759247,1.3398803510653234e-15,-6.47148551283123e-16,0.31201110340759247,ok,30.2
1.0990821169362144,1.0990821169362144,55.0,92,6,8,-76.01455137585677,-75.80337270437853,-76.24255503798402,-76.02137801091078,0.17689108120851874,6.374239772676518e-16,1.7932889607681223e-15,0.17689108120851874,ok,6.22
0.9730484681624365,0.8217302352684964,55.0,92,6,8,-75.96255799786994,-75.71342863104519,-76.20490096808297,-75.92809927964585,-0.30073981030022157,-2.3047081415881425e-15,5.19017073282074e-17,0.30073981030022157,ok,31.93
1.0328937646339662,0.7784650775728821,55.0,92,6,8,-75.94157344870551,-75.70313366053857,-76.18134941017526,-75.91732717137828,0.2760546342915111,9.287800948500676e-16,2.7458367738478405e-16,0.2760546342915111,ok,32.8
1.0328937646339662,0.8217302352684964,55.0,92,6,8,-75.97007972360537,-75.73018433894663,-76.20869357436337,-75.94516324489807,0.25559125616364053,2.064455835850666e-15,1.2125092507718497e-15,0.25559125616364053,ok,33.78
1.0328937646339662,0.738001992915057,55.0,92,6,8,-75.90530161970176,-75.66716952861518,-76.14500622891154,-75.88036171944363,0.28599170853983347,2.930081005267626e-15,1.893483538503543e-15,0.28599170853983347,ok,34.34
1.0990821169362144,1.0328937646339662,55.0,92,6,8,-76.01594205511117,-75.7979995082234,-76.24601178338355,-76.01508142628738,0.18945183536694607,-3.083536735676129e-16,8.954184433274525e-16,0.18945183536694607,ok,11.65
1.17311930899858,1.17311930899858,55.0,92,6,8,-76.00442895376966,-75.81291029788014,-76.22636315080777,-76.02941638868214,-0.14202601816981222,-7.655969918281964e-16,-2.3708296283454313e-15,0.14202601816981222,ok,6.18
1.17311930899858,0.8682146206261605,55.0,92,6,8,-75.99386533290462,-75.78805645923134,-76.21980737024059,-75.99789136119213,-0.16229988641090554,-9.08833118272246e-16,-8.614771778384687e-16,0.16229988641090554,ok,9.67
1.17311930899858,0.738001992915057,55.0,92,6,8,-75.91218567467216,-75.70811856770776,-76.1380440774285,-75.9159236955872,-0.1687790329113232,-9.350956133571094e-16,3.734374786408357e-15,0.1687790329113232,ok,11.45
1.17311930899858,0.9730484681624365,55.0,92,6,8,-76.01222054693055,-75.80743301442237,-76.23770756562834,-76.01932542680737,0.15740207004185944,1.0857910748664431e-15,-5.649595423436802e-16,0.15740207004185944,ok,8.96
1.17311930899858,0.7784650775728821,55.0,92,6,8,-75.94803912942365,-75.74312807563967,-76.17398801003324,-75.9515408141885,-0.1668001460394726,-1.625710969012907e-15,3.504324136814692e-15,0.1668001460394726,ok,11.73
1.17311930899858,0.7,55.0,92,6,8,-75.86606480361641,-75.66302214889356,-76.09181165282806,-75.87030590462884,0.17060298875285318,1.6532006931457225e-15,-3.1930680787876975e-15,0.17060298875285318,ok,12.79
1.17311930899858,0.8217302352684964,55.0,92,6,8,-75.9748869013925,-75.7693670872564,-76.2008815042198,-75.9784707476839,0.16464442838511753,8.556458594008132e-16,5.576914688777542e-16,0.16464442838511753,ok,11.74
1.17311930899858,0.9184360891594576,55.0,92,6,8,-76.00599839251484,-75.80036002281233,-76.23178865975278,-76.01109761104473,-0.15986067717795588,-1.5112312045957243e-15,9.094998995166944e-16,0.15986067717795588,ok,11.59
1.17311930899858,1.0328937646339662,55.0,92,6,8,-76.01340594667337,-75.81054045586798,-76.2383498525429,-76.02388295925283,0.15494545413647814,1.836881415487942e-15,-7.75948648529765e-16,0.15494545413647814,ok,11.18
1.2571204432701741,0.7784650775728821,55.0,92,6,8,-75.94475989606846,-75.76683485433601,-76.16504565622571,-75.97237202995952,0.13589361655648846,7.494133446975672e-16,-4.5029720808870026e-15,0.13589361655648846,ok,7.55
1.2571204432701741,0.7,55.0,92,6,8,-75.863231188557,-75.68776294848425,-76.08312114540139,-75.89221780785365,0.13949085371625308,-2.946270312991746e-17,-7.522903530058482e-15,0.13949085371625308,ok,9.79
1.2571204432701741,0.9184360891594576,55.0,92,6,8,-76.00152829180821,-75.82089508293616,-76.22182504782879,-76.02825815839952,0.12819828526182173,5.225679897575898e-16,1.8444128277719513e-16,0.12819828526182173,ok,6.4
1.17311930899858,1.0990821169362144,55.0,92,6,8,-76.0104600378632,-75.81136333918138,-76.23442030468989,-76.02668486074441,0.15150355301270646,7.620314500435183e-16,2.8379488366462656e-15,0.15150355301270646,ok,12.99
1.2571204432701741,1.2571204432701741,55.0,92,6,8,-75.9858164865083,-75.81747519741964,-76.20169205801147,-76.03125078534971,0.11204380143435977,-1.1548311498841945e-15,4.581751991857005e-15,0.11204380143435977,ok,6.2
1.2571204432701741,0.8682146206261605,55.0,92,6,8,-75.98987145529276,-75.80992416029349,-76.21025249245656,-76.01664235256595,-0.13101374661260104,-6.898215481249577e-16,-6.689865029727289e-16,0.13101374661260104,ok,9.62
1.0990821169362144,0.7,55.0,92,6,8,-75.86284732933339,-75.64184760347894,-76.09865490822472,-75.8540205804048,0.24186401742318792,1.676887066699197e-15,-6.037104095978229e-15,0.24186401742318792,ok,45.87
1.2571204432701741,0.738001992915057,55.0,92,6,8,-75.9091596372285,-75.73242938847835,-76.12927250382091,-75.93739449860306,0.1378567181761824,6.755711924610589e-16,-4.9512335283947445e-15,0.1378567181761824,ok,13.09
1.2571204432701741,1.17311930899858,55.0,92,6,8,-75.99607715441547,-75.81985314369383,-76.21396391303016,-76.03223428981605,0.118349212889527,4.793171177171026e-16,3.3720593981440887e-15,0.118349212889527,ok,9.49
