basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.1960980490245123,1036.5721982501045,1.8275254873000083e-32,4.144676196939774e-32,1.1029500623434825e-31,3.4723854816596348e-31
cc-pvtz-dk,1.1980990495247623,1034.8409711966597,1.7046459141909426e-30,1.695397319460346e-30,1.677833687308692e-30,1.6420576233756083e-30
cc-pvtz-dk,1.2001000500250125,1033.1155173055438,3.333636246163808e-30,3.315549527764798e-30,3.2812017724523216e-30,3.2112374575881375e-30
cc-pvtz-dk,1.2021010505252625,1031.3958077469829,4.3468846207343636e-30,4.323300500499684e-30,4.2785128517283576e-30,4.187283100841974e-30
cc-pvtz-dk,1.2041020510255127,1029.6818138828417,4.707987216652023e-30,4.768932250731969e-30,4.8821282087224236e-30,5.1028059282716925e-30
cc-pvtz-dk,1.206103051525763,1027.973507265035,4.38274363139018e-30,4.6266709343414135e-30,5.082034294409844e-30,5.9789522627733726e-30
cc-pvtz-dk,1.208104052026013,1026.2708596339544,3.2082924320769084e-30,3.59138483148073e-30,4.307127595403465e-30,5.719229117678709e-30
cc-pvtz-dk,1.210105052526263,1024.5738429169078,1.3974957776349277e-30,1.8482618705812798e-30,2.6908205542772674e-30,4.354619617495107e-30
cc-pvtz-dk,1.2121060530265133,1022.8824292265786,8.562680229598095e-31,1.3027783610655854e-30,2.1620601445218584e-30,3.956474608502772e-30
cc-pvtz-dk,1.2141070535267633,1021.1965908594973,6.7499533138020955e-31,1.0600040414415515e-30,1.859651069872696e-30,3.755085442406017e-30
cc-pvtz-dk,1.2161080540270135,1019.516300294529,3.602471500588223e-31,6.084158952569759e-31,1.1932448996951755e-30,2.826458062587951e-30
cc-pvtz-dk,1.2181090545272637,1017.8415301913757,9.973556716358216e-32,2.26191992442143e-31,6.019251210742611e-31,1.895023286025777e-30
cc-pvtz-dk,1.2201100550275137,1016.1722533890938,9.39092717548491e-32,2.1297843779421743e-31,5.667622030796801e-31,1.7843208978526063e-30
cc-pvtz-dk,1.222111055527764,1014.5084429046253,6.981517877455047e-32,1.583350337179032e-31,4.213492852330928e-31,1.326521653793079e-30
cc-pvtz-dk,1.224112056028014,1012.8500719313444,3.1746849173712904e-32,7.199922026396595e-32,1.9159891076040385e-31,6.032052571923568e-31
cc-pvtz-dk,1.226113056528264,1011.1971138376173,1.4053581791946016e-30,1.3977333767986926e-30,1.3832534229882218e-30,1.3537586266500562e-30
cc-pvtz-dk,1.2281140570285143,1009.5495421653767,3.3491931987140505e-30,3.3310220757192334e-30,3.2965140310529865e-30,3.226223216401129e-30
cc-pvtz-dk,1.2301150575287645,1007.9073306287107,4.6798321729808075e-30,4.654441638316224e-30,4.606223500969664e-30,4.508006050868817e-30
cc-pvtz-dk,1.2321160580290145,1006.2704531124645,5.2165218602466094e-30,5.2323469795226594e-30,5.2611027132405036e-30,5.3146275261924405e-30
cc-pvtz-dk,1.2341170585292647,1004.6388836708552,5.102571075656469e-30,5.332411444408886e-30,5.761322158656332e-30,6.60552260200883e-30
cc-pvtz-dk,1.2361180590295147,1003.0125965261028,4.0037056258778686e-30,4.4071046774270894e-30,5.160687223407796e-30,6.647048937221019e-30
cc-pvtz-dk,1.2381190595297649,1001.3915660670707,2.1156867959923347e-30,2.617903397875161e-30,3.556542756096995e-30,5.4097197923384e-30
cc-pvtz-dk,1.240120060030015,999.7757668479225,9.954351832268153e-31,1.5051767245529432e-30,2.469537455093658e-30,4.4196018156986205e-30
cc-pvtz-dk,1.242121060530265,998.1651735867902,8.34053744820526e-31,1.2981688234793498e-30,2.2432297840721604e-30,4.416126408122839e-30
cc-pvtz-dk,1.2441220610305153,996.559761164455,5.087316596765138e-31,8.368672787321127e-31,1.580100419108011e-30,3.561438557634282e-30
cc-pvtz-dk,1.2461230615307652,994.959504623043,1.1321076549642414e-31,2.5675262438259605e-31,6.832507766921025e-31,2.1510584733794367e-30
cc-pvtz-dk,1.2481240620310154,993.3643791647295,1.1201882405185305e-31,2.5404940006764625e-31,6.760571594225469e-31,2.1284110181407585e-30
cc-pvtz-dk,1.2501250625312657,991.7743601504601,8.914382076070971e-32,2.0217079027282877e-31,5.380017042105444e-31,1.693775058899315e-30
