r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.55,0.9,100.0,87,0.005250969566268959,-2679.865597889347,-2680.3989699135764,-2680.416897362296,4.337660280127514,"A""",0.9196385546298088,3.171665040623324,0.9589,ok,249.67
1.55,0.9,105.0,87,0.005218640730490017,-2679.86996477258,-2680.402694175576,-2680.4205281731333,4.344505314904489,"A""",0.9030868291417273,3.1902837524514975,0.959,ok,250.21
1.55,0.9,110.0,87,0.005199911044095998,-2679.872415822608,-2680.4046485631325,-2680.422406129418,4.34102908326757,"A""",0.8741765477242569,3.224405584788706,0.9591,ok,383.96
1.55,0.95,80.0,87,0.005698936805551375,-2679.8277706807876,-2680.367130959689,-2680.385969454082,4.166656172478037,"A""",0.8333255299206626,3.036358300978334,0.9574,ok,386.37
1.55,1.0,120.0,87,0.005493876949990121,-2679.870770126475,-2680.405386761075,-2680.4235309575556,4.1146471813728995,"A""",0.8018636317262371,2.9020437720241765,0.9572,ok,316.02
1.55,0.95,85.0,87,0.005574218085172821,-2679.8415705527136,-2680.379490498005,-2680.398109094791,4.204795992280026,"A""",0.8664252898183438,2.958798826506698,0.9577,ok,390.76
1.55,0.9,115.0,87,0.005191641592667271,-2679.8731466763725,-2680.4050164082064,-2680.4227111273917,4.326758079318036,"A""",0.8330738061856697,3.2713990619762185,0.9591,ok,412.61
1.55,0.95,100.0,87,0.00535592401128072,-2679.867712585717,-2680.402604719386,-2680.420775996802,4.271423620339424,"A""",0.9095469406799627,2.9149125490525196,0.9582,ok,380.6
1.55,0.9,125.0,87,0.005194660414261625,-2679.870253286982,-2680.4017414284012,-2680.4193400801014,4.265569834039567,"A""",0.7170419156311642,3.3954199137545955,0.9591,ok,410.0
1.55,0.95,95.0,87,0.005403734448116528,-2679.8613366464333,-2680.3970489878952,-2680.4153388704467,4.25816464708917,"A""",0.9065071989452499,2.9035024961187483,0.9581,ok,388.21
1.55,1.0,125.0,87,0.005517581739336883,-2679.86849142643,-2680.402917053256,-2680.4210184089256,4.065382840152307,"A""",0.7432623370932331,2.990210017916603,0.9572,ok,313.96
1.55,0.95,115.0,87,0.005315040593381282,-2679.875025386586,-2680.4083683616795,-2680.42630436838,4.247174339697125,"A""",0.8400749474964698,3.052578191810937,0.9583,ok,382.48
1.55,0.9,130.0,87,0.0052005862587579214,-2679.8670510506436,-2680.3984867338418,-2680.4160477907194,4.219528695642838,"A""",0.6445316498299594,3.4685788045741517,0.9591,ok,412.2
1.55,0.95,120.0,87,0.005321855770659327,-2679.8741547244244,-2680.4072344079714,-2680.4251184948876,4.21620000702958,"A""",0.7909419036575516,3.1222989139530353,0.9583,ok,395.72
1.55,0.95,90.0,87,0.0054756499308317,-2679.8526859439858,-2680.389399388612,-2680.407836540126,4.235617965579211,"A""",0.891581757687151,2.9163758025472015,0.9579,ok,415.79
1.55,0.9,135.0,87,0.005206123754684338,-2679.86297709658,-2680.394427765204,-2680.4119559008964,4.164565398892949,"A""",0.5646886233146146,3.54648024209661,0.9591,ok,435.44
1.55,0.95,110.0,87,0.005315873587781493,-2679.874370830204,-2680.408093204607,-2680.4260920144116,4.26654352388453,"A""",0.8765056696676261,2.99294528858874,0.9583,ok,408.9
1.55,0.95,75.0,87,0.005845215026929389,-2679.810988389588,-2680.3520472076916,-2680.3711447963665,4.121928082141195,"A""",0.7950237082265114,3.154206655029967,0.9571,ok,438.43
1.55,0.95,105.0,87,0.005328104694691047,-2679.8719960718004,-2680.4062299693305,-2680.424305837016,4.274464982806735,"A""",0.8996898702579967,2.9460074299949452,0.9583,ok,418.25
1.55,0.9,120.0,87,0.00519081678893912,-2679.87235702197,-2680.403983846236,-2680.421626395632,4.301532330644541,"A""",0.780362926643966,3.3290561975544417,0.9591,ok,457.06
1.55,1.0,100.0,87,0.0054824155219174485,-2679.864638669723,-2680.401119040884,-2680.419547722232,4.1874798518583685,"A""",0.8999772935928818,2.650549485408798,0.9571,ok,397.73
1.55,1.0,75.0,87,0.006012898732103667,-2679.80932574382,-2680.352082727864,-2680.371506324731,4.039245160935076,"A""",0.7441549037246187,2.8755089991349467,0.956,ok,416.38
1.55,1.0,85.0,87,0.005704711750101004,-2679.838987363662,-2680.378543008324,-2680.3974405984322,4.1235461983821695,"A""",0.8316114130241442,2.6735788164054535,0.9566,ok,419.93
1.55,1.0,80.0,87,0.0058455749169323635,-2679.8255498603194,-2680.3665730532994,-2680.385710034306,4.084874572741156,"A""",0.7899017283402133,2.7513414430401557,0.9564,ok,424.3
1.55,1.0,90.0,87,0.005597761710798192,-2679.849871098137,-2680.388199796338,-2680.4069037729832,4.154317950992584,"A""",0.8656629201029626,2.6353863407933047,0.9569,ok,419.95
1.55,1.0,95.0,87,0.005525108344838017,-2679.8583698631655,-2680.395682173835,-2680.4142322886405,4.1760180198126235,"A""",0.8891370530777669,2.6298157832243865,0.957,ok,420.73
1.55,1.0,110.0,87,0.005462654301340326,-2679.871137638,-2680.4064279884415,-2680.4246843800815,4.175879972656709,"A""",0.8794739742930046,2.750285415094428,0.9573,ok,409.19
1.55,0.95,130.0,87,0.005345057179069388,-2679.868659900777,-2680.40148663983,-2680.41928900019,4.120825267433836,"A""",0.6589828891522279,3.283065258625361,0.9583,ok,445.14
1.55,1.0,105.0,87,0.005463604850274198,-2679.868837799428,-2680.404649963047,-2680.422982701652,4.1876908581243075,"A""",0.8969403013910908,2.692189290316268,0.9572,ok,411.55
1.55,1.0,115.0,87,0.005474244856190069,-2679.8717185456344,-2680.4066165454556,-2680.424811376173,4.1515734132821684,"A""",0.8476044361114712,2.8212247920246463,0.9572,ok,412.53
1.55,0.95,135.0,87,0.005355075107008378,-2679.8644736975994,-2680.3972711200363,-2680.415039472609,4.058322146655191,"A""",0.5795109949477475,3.369786578915708,0.9582,ok,447.4
1.55,0.95,125.0,87,0.005332906323874017,-2679.871961893409,-2680.404876132535,-2680.422716429079,4.1738540993176985,"A""",0.7300968820922168,3.1998404109902086,0.9583,ok,486.53
1.55,1.05,80.0,87,0.006007294250711747,-2679.8197447913344,-2680.362454562827,-2680.38190134734,3.969050710707454,"A""",0.743215459130352,2.494186043770572,0.9549,ok,266.19
1.55,1.05,110.0,87,0.005647886365887882,-2679.864270209894,-2680.401203279903,-2680.4197367814977,4.0634271230762335,"A""",0.881083014084454,2.5156422447927405,0.9558,ok,276.88
1.55,1.0,130.0,87,0.005541556191659539,-2679.8650921683493,-2680.3993953216695,-2680.4174590024854,4.004531183192334,"A""",0.6732953246845631,3.0834094616959167,0.9571,ok,413.65
1.55,1.05,75.0,87,0.006197024292901798,-2679.8041729200077,-2680.348636701068,-2680.368399408043,3.9208117511624643,"A""",0.6887371429627119,2.6257493412848145,0.9546,ok,381.22
1.55,1.05,105.0,87,0.005631385763743545,-2679.862040012589,-2680.3994996866536,-2680.4181070771388,4.078089436800099,"A""",0.8930871877024453,2.449129603028875,0.9558,ok,363.55
1.55,1.05,95.0,87,0.005667530162630085,-2679.851756981498,-2680.3907238522024,-2680.409548109272,4.067386455266648,"A""",0.8706774680100777,2.3739614043967388,0.9556,ok,370.48
1.55,1.05,90.0,87,0.005736846020598452,-2679.8434133774995,-2680.3834029159925,-2680.402385883068,4.044044011956786,"A""",0.8382781358455145,2.3761093456839926,0.9554,ok,386.21
1.55,1.05,115.0,87,0.00567829454099359,-2679.8647831492617,-2680.4013152965317,-2680.419790045818,4.034715477397184,"A""",0.8534247755659696,2.5958075343268057,0.9558,ok,380.09
1.55,1.05,100.0,87,0.005635280318807787,-2679.857920855718,-2680.3960519541306,-2680.414753903969,4.079136343151283,"A""",0.8894146688986091,2.4002698944777023,0.9557,ok,383.8
1.55,1.05,85.0,87,0.005850052463771267,-2679.832777177159,-2680.374003977872,-2680.3931916666306,4.010672806829189,"A""",0.794609215553042,2.4136168383245282,0.9552,ok,413.47
