basis,r_ox_A,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,w1_app,root0_sym,gap_any_eV,gap_app_eV,status,wall_s,omega1_eV,sym1,w1_1,omega2_eV,sym2,w1_2,omega3_eV,sym3,w1_3,omega4_eV,sym4,w1_4,omega5_eV,sym5,w1_5,omega6_eV,sym6,w1_6
cc-pvtz-dk,2.05,87,0.0073242495354953596,-2679.8921829840356,-2680.4416661795817,-2680.464705103742,1.8443437934744085,0.9359,"A""",0.7373006104177061,2.0688796951304504,ok,519.53,1.8443437934744085,"A""",0.9359,2.5816444038921147,A',0.9379,3.913223488604859,"A""",0.9164,3.9183312637938585,A',0.961,7.420253648136164,A',0.9222,8.098263575347936,"A""",0.9302
cc-pvtz-dk,2.4,87,0.010091732227259051,-2679.834792143474,-2680.400380746923,-2680.4300797898245,0.7910836705455883,0.9019,"A""",0.3429908234163272,1.0243991281748184,ok,531.75,0.7910836705455883,"A""",0.9019,1.1340744939619154,A',0.944,1.4888734238411676,A',0.9136,1.8154827987204067,"A""",0.8735,5.4854391635020665,A',0.8909,6.0103084196393075,"A""",0.001
cc-pvtz-dk,1.9,87,0.006540153986051787,-2679.9104181290013,-2680.4544071946834,-2680.4756135866965,2.5347566258100396,0.9455,"A""",0.8167932942002576,2.806770184181134,ok,533.83,2.5347566258100396,"A""",0.9455,3.351549920010297,A',0.9487,5.341526809991174,"A""",0.9282,5.528426793498804,A',0.9587,7.918665838628515,"A""",0.935,8.802190965327485,A',0.9317
cc-pvtz-dk,2.55,87,0.01169477058168396,-2679.810882165052,-2680.3847200810383,-2680.418565398852,0.5332922119303841,0.8823,A',-0.013566114582205994,0.7591315723373134,warn:Ap_below+w1,547.3,0.5197260973481781,A',0.9657,0.5332922119303841,"A""",0.8823,1.0359537632087032,A',0.8695,1.2924237842676976,"A""",0.8513,5.049029867691406,A',0.8533,5.154478471712872,"A""",0.0008
cc-pvtz-dk,2.3,87,0.009153798445118952,-2679.8514874737434,-2680.412002847472,-2680.4393875940686,1.019697041714379,0.9134,"A""",0.5144160652982575,1.2513218158167878,ok,547.71,1.019697041714379,"A""",0.9134,1.5341131070126364,A',0.9259,1.979244746328053,A',0.9463,2.2710188575311667,"A""",0.8874,5.884310771174596,A',0.9015,6.732534375657461,"A""",0.0011
cc-pvtz-dk,2.5,87,0.011137714012641135,-2679.818656934818,-2680.3896676801714,-2680.422041672761,0.6091279356244326,0.8892,"A""",0.10791375681850368,0.8388158464079191,warn:w1,547.91,0.6091279356244326,"A""",0.8892,0.7170416924429363,A',0.9615,1.1617244568380836,A',0.8813,1.4479437820323517,"A""",0.8588,5.176613349724354,A',0.8756,5.41237096950756,"A""",0.0008
cc-pvtz-dk,2.35,87,0.009608330601142887,-2679.8430913837037,-2680.4060975356747,-2680.434594764644,0.899074846658322,0.9078,"A""",0.43903252921482677,1.1321540470993494,ok,551.68,0.899074846658322,"A""",0.9078,1.3381073758731488,A',0.9327,1.710586115170374,A',0.9323,2.0312288937576715,"A""",0.8806,5.672309331760721,A',0.8964,6.354795899863293,"A""",0.001
cc-pvtz-dk,1.8,87,0.006118463766836334,-2679.9156327246587,-2680.4564466567854,-2680.4766499137345,3.0627792229950415,0.9504,"A""",0.8536821023144305,3.4340423565966334,ok,551.84,3.0627792229950415,"A""",0.9504,3.9164613253094718,A',0.9541,6.496821579591675,"A""",0.9336,6.780221270638678,A',0.9562,7.76310515733336,"A""",0.9375,8.896655159811978,A',0.9338
cc-pvtz-dk,2.15,87,0.00796982049222853,-2679.8765774767,-2680.4301893900233,-2680.4547423814697,1.4668985887921067,0.928,"A""",0.665855541084295,1.690768598562082,ok,552.54,1.4668985887921067,"A""",0.928,2.132754129876402,A',0.9298,3.0314411796225014,A',0.9603,3.1576671873541886,"A""",0.906,6.6992372399655755,A',0.9148,8.082767712954501,"A""",0.0035
cc-pvtz-dk,1.55,87,0.005367375443582152,-2679.869630322119,-2680.404543157881,-2680.422723208804,4.257086363637717,0.958,"A""",0.9052519764899611,2.870023786242883,ok,559.27,4.257086363637717,"A""",0.958,5.162338340127678,A',0.9614,7.1271101498806,"A""",0.948,8.18494477174052,A',0.9483,10.004233798577884,"A""",0.9341,10.114585230061017,A',0.9476
