==============================================================================
== HOX Phase 1 -- 3D CCSD(T) + EOM-CCSD raster for HOCl
==============================================================================
  r(O-Cl) 1.4-2.4 A, 21 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2730 geometries, def2-tzvp, 4 EOM roots
  estimate 84 CPU-hours = 2.8 h on 30 workers at 111 s/point
  60 already in hocl_pes_raster.csv, 2670 to run

  1120/2670  ok=1120 warn=0 bad=0  1033 pts/h  eta 90.0 min
  1130/2670  ok=1130 warn=0 bad=0  1033 pts/h  eta 89.4 min
  1140/2670  ok=1140 warn=0 bad=0  1031 pts/h  eta 89.0 min
  1150/2670  ok=1150 warn=0 bad=0  1031 pts/h  eta 88.4 min
  1160/2670  ok=1160 warn=0 bad=0  1036 pts/h  eta 87.5 min
  1170/2670  ok=1170 warn=0 bad=0  1035 pts/h  eta 86.9 min
  1180/2670  ok=1180 warn=0 bad=0  1032 pts/h  eta 86.6 min
  1190/2670  ok=1190 warn=0 bad=0  1038 pts/h  eta 85.5 min
  1200/2670  ok=1200 warn=0 bad=0  1038 pts/h  eta 85.0 min
  1210/2670  ok=1210 warn=0 bad=0  1034 pts/h  eta 84.8 min
  1220/2670  ok=1220 warn=0 bad=0  1038 pts/h  eta 83.8 min
  1230/2670  ok=1230 warn=0 bad=0  1039 pts/h  eta 83.1 min
  1240/2670  ok=1240 warn=0 bad=0  1033 pts/h  eta 83.1 min
  1250/2670  ok=1250 warn=0 bad=0  1035 pts/h  eta 82.3 min
  1260/2670  ok=1260 warn=0 bad=0  1039 pts/h  eta 81.5 min
  1270/2670  ok=1270 warn=0 bad=0  1033 pts/h  eta 81.3 min
  1280/2670  ok=1280 warn=0 bad=0  1037 pts/h  eta 80.4 min
  1290/2670  ok=1290 warn=0 bad=0  1039 pts/h  eta 79.7 min
  1300/2670  ok=1300 warn=0 bad=0  1035 pts/h  eta 79.4 min
  1310/2670  ok=1310 warn=0 bad=0  1039 pts/h  eta 78.6 min
  1320/2670  ok=1320 warn=0 bad=0  1041 pts/h  eta 77.8 min
  1330/2670  ok=1330 warn=0 bad=0  1037 pts/h  eta 77.5 min
  1340/2670  ok=1340 warn=0 bad=0  1040 pts/h  eta 76.7 min
  1350/2670  ok=1350 warn=0 bad=0  1041 pts/h  eta 76.1 min
  1360/2670  ok=1360 warn=0 bad=0  1039 pts/h  eta 75.6 min
  1370/2670  ok=1370 warn=0 bad=0  1041 pts/h  eta 74.9 min
  1380/2670  ok=1380 warn=0 bad=0  1041 pts/h  eta 74.4 min
  1390/2670  ok=1390 warn=0 bad=0  1039 pts/h  eta 73.9 min
  1400/2670  ok=1400 warn=0 bad=0  1042 pts/h  eta 73.1 min
  1410/2670  ok=1410 warn=0 bad=0  1042 pts/h  eta 72.6 min
  1420/2670  ok=1420 warn=0 bad=0  1042 pts/h  eta 72.0 min
  1430/2670  ok=1430 warn=0 bad=0  1043 pts/h  eta 71.4 min
  1440/2670  ok=1440 warn=0 bad=0  1041 pts/h  eta 70.9 min
  1450/2670  ok=1450 warn=0 bad=0  1044 pts/h  eta 70.1 min
  1460/2670  ok=1460 warn=0 bad=0  1045 pts/h  eta 69.5 min
  1470/2670  ok=1470 warn=0 bad=0  1045 pts/h  eta 68.9 min
  1480/2670  ok=1480 warn=0 bad=0  1045 pts/h  eta 68.3 min
  1490/2670  ok=1490 warn=0 bad=0  1047 pts/h  eta 67.6 min
  1500/2670  ok=1500 warn=0 bad=0  1045 pts/h  eta 67.2 min
  1510/2670  ok=1510 warn=0 bad=0  1046 pts/h  eta 66.5 min
  1520/2670  ok=1520 warn=0 bad=0  1048 pts/h  eta 65.8 min
  1530/2670  ok=1530 warn=0 bad=0  1045 pts/h  eta 65.4 min
  1540/2670  ok=1540 warn=0 bad=0  1047 pts/h  eta 64.7 min
  1550/2670  ok=1550 warn=0 bad=0  1050 pts/h  eta 64.0 min
  1560/2670  ok=1560 warn=0 bad=0  1046 pts/h  eta 63.7 min
  1570/2670  ok=1570 warn=0 bad=0  1048 pts/h  eta 63.0 min
  1580/2670  ok=1580 warn=0 bad=0  1051 pts/h  eta 62.2 min
  1590/2670  ok=1590 warn=0 bad=0  1046 pts/h  eta 61.9 min
  1600/2670  ok=1600 warn=0 bad=0  1049 pts/h  eta 61.2 min
  1610/2670  ok=1610 warn=0 bad=0  1052 pts/h  eta 60.4 min
  1620/2670  ok=1620 warn=0 bad=0  1047 pts/h  eta 60.2 min
  1630/2670  ok=1630 warn=0 bad=0  1050 pts/h  eta 59.4 min
  1640/2670  ok=1640 warn=0 bad=0  1052 pts/h  eta 58.8 min
  1650/2670  ok=1650 warn=0 bad=0  1048 pts/h  eta 58.4 min
  1660/2670  ok=1660 warn=0 bad=0  1052 pts/h  eta 57.6 min
  1670/2670  ok=1670 warn=0 bad=0  1053 pts/h  eta 57.0 min
  1680/2670  ok=1680 warn=0 bad=0  1053 pts/h  eta 56.4 min
  1690/2670  ok=1690 warn=0 bad=0  1052 pts/h  eta 55.9 min
  1700/2670  ok=1700 warn=0 bad=0  1054 pts/h  eta 55.2 min
  1710/2670  ok=1710 warn=0 bad=0  1055 pts/h  eta 54.6 min
  1720/2670  ok=1720 warn=0 bad=0  1054 pts/h  eta 54.1 min
  1730/2670  ok=1730 warn=0 bad=0  1055 pts/h  eta 53.5 min
  1740/2670  ok=1740 warn=0 bad=0  1054 pts/h  eta 52.9 min
  1750/2670  ok=1750 warn=0 bad=0  1055 pts/h  eta 52.3 min
  1760/2670  ok=1760 warn=0 bad=0  1055 pts/h  eta 51.8 min
  1770/2670  ok=1770 warn=0 bad=0  1055 pts/h  eta 51.2 min
  1780/2670  ok=1780 warn=0 bad=0  1057 pts/h  eta 50.5 min
  1790/2670  ok=1790 warn=0 bad=0  1056 pts/h  eta 50.0 min
  1800/2670  ok=1800 warn=0 bad=0  1056 pts/h  eta 49.4 min
  1810/2670  ok=1810 warn=0 bad=0  1058 pts/h  eta 48.8 min
  1820/2670  ok=1820 warn=0 bad=0  1057 pts/h  eta 48.2 min
  1830/2670  ok=1830 warn=0 bad=0  1057 pts/h  eta 47.7 min
  1840/2670  ok=1840 warn=0 bad=0  1060 pts/h  eta 47.0 min
  1850/2670  ok=1850 warn=0 bad=0  1058 pts/h  eta 46.5 min
  1860/2670  ok=1860 warn=0 bad=0  1057 pts/h  eta 46.0 min
  1870/2670  ok=1870 warn=0 bad=0  1061 pts/h  eta 45.3 min
