E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.6300650325162582,760.6089077845634,1.116230961107825e-32,1.2630935049401937e-32,1.4917035710846102e-32
1.6320660330165082,759.6763604646743,1.2471979678328172e-32,1.3268942320187327e-32,1.4430210194648263e-32
1.6340670335167584,758.7460970506658,1.141642832272953e-32,1.1459187295036455e-32,1.1517875339498841e-32
1.6360680340170084,757.8181091625133,8.499194946644688e-33,8.418497026379963e-33,8.297625476946373e-33
1.6380690345172586,756.892388461139,3.983283002233832e-33,3.945462637349391e-33,3.888814261669696e-33
1.6400700350175088,755.9689266481622,0.0,0.0,0.0
1.6420710355177588,755.0477154656512,0.0,0.0,0.0
1.644072036018009,754.128746695877,0.0,0.0,0.0
1.6460730365182592,753.2120121610697,1.803209723665164e-36,1.46367720305653e-35,5.594426648498718e-35
1.6480740370185092,752.2975037231749,1.8166651267531e-35,1.4745990423186421e-34,5.63617180138556e-34
1.6500750375187594,751.3852132836137,3.4939378428977866e-34,1.1631852596999933e-33,2.74523635645559e-33
1.6520760380190094,750.4751327830431,7.666711384205481e-34,2.394568343092484e-33,5.2602979697130555e-33
1.6540770385192596,749.567254201119,1.841379124733504e-33,3.9782367138706954e-33,7.590392614750506e-33
1.6560780390195098,748.6615695562604,7.497118949179105e-33,9.695162572076601e-33,1.3304502146238155e-32
1.6580790395197598,747.7580709054156,1.1810361201615086e-32,1.3648512505778206e-32,1.6562406664829264e-32
1.66008004002001,746.85675034383,1.3926142972080937e-32,1.5044793509428652e-32,1.6691382952948978e-32
1.6620810405202602,745.9576000048156,1.3415143291481665e-32,1.3703550424608907e-32,1.4120797675370463e-32
1.6640820410205102,745.060612059522,1.0586302615981138e-32,1.0485788083750064e-32,1.0335234671574047e-32
1.6660830415207604,744.1657787167092,5.900464225054419e-33,5.84444066111131e-33,5.760527036616632e-33
1.6680840420210106,743.273092222522,2.9988212491411225e-36,2.970348124383949e-36,2.9277003003096038e-36
1.6700850425212606,742.3825448602665,0.0,0.0,0.0
1.6720860430215108,741.4941289501869,0.0,0.0,0.0
1.674087043521761,740.6078368492454,0.0,0.0,0.0
1.676088044022011,739.7236609509029,1.4439222333111864e-35,1.172041181980947e-34,4.479743489834832e-34
1.6780890445222612,738.8415936849008,2.527969864466615e-34,8.855645275867653e-34,2.1989976865683796e-33
1.6800900450225114,737.9616275170462,7.562970978952902e-34,2.38197179149232e-33,5.284951649588773e-33
1.6820910455227613,737.0837549489962,1.1239806148290325e-33,3.449382967594454e-33,7.415832476294846e-33
1.6840920460230115,736.2079685180454,6.951245598220988e-33,9.489333988235968e-33,1.3698413942148918e-32
1.6860930465232615,735.3342607969144,1.2317884453774096e-32,1.457810532077727e-32,1.8216576752541688e-32
1.6880940470235117,734.4626243935397,1.540953972825541e-32,1.6952846435216927e-32,1.9312570735437367e-32
1.690095047523762,733.5930519508657,1.5601464995497325e-32,1.6201313012588713e-32,1.707327053166873e-32
1.692096048024012,732.7255361466371,1.2959091701617532e-32,1.2836048077438368e-32,1.2651749975905248e-32
1.6940970485242621,731.8600696931935,8.185061785815098e-33,8.10734648836633e-33,7.990942392864117e-33
1.6960980490245123,730.9966453372658,1.7549305677958306e-33,1.7382679017528515e-33,1.713310105372196e-33
1.6980990495247623,730.1352558597731,0.0,0.0,0.0
1.7001000500250125,729.2758940756215,0.0,0.0,0.0
1.7021010505252625,728.4185528335048,0.0,0.0,0.0
1.7041020510255127,727.5632250157053,8.403395456897333e-36,6.821091411113856e-35,2.6071387518021804e-34
1.7061030515257627,726.7099035378977,1.1649384240696015e-34,4.839266169871839e-34,1.3803198616426222e-33
1.7081040520260131,725.8585813489528,7.1586887204750794e-34,2.2765430998879745e-33,5.10841508096491e-33
1.710105052526263,725.0092514307445,1.1893540968148065e-33,3.6672064224682396e-33,7.930377071618636e-33
1.7121060530265133,724.1619067979547,6.056444354183495e-33,8.950158182581178e-33,1.3790751517088327e-32
