r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
2.2,1.15,125.0,6,10,True,-536.1455834972426,-536.6264226332277,1.9999999999999996,0.8715923976271011,ok,3.98
2.2,1.15,85.0,6,10,True,-536.1460681640003,-536.6301050494955,1.9999999999999996,0.9320590193980006,ok,4.18
2.2,1.15,95.0,6,10,True,-536.1476034186675,-536.630717212174,2.0,0.9163707347127972,ok,4.14
2.2,1.05,115.0,6,10,True,-536.1658453809958,-536.6439774422882,1.9999999999999982,0.8904795191048129,ok,4.4
2.2,1.1,85.0,6,10,True,-536.1566783398438,-536.6388619776076,2.0,0.9315201205455086,ok,4.42
2.2,1.15,75.0,6,10,True,-536.1427246061628,-536.6281664557557,2.000000000000001,0.9555408907446661,ok,4.34
2.2,1.15,135.0,6,10,True,-536.1438589120097,-536.62374910711,2.0000000000000004,0.8524539634894946,ok,4.1
2.2,1.2,95.0,6,10,True,-536.1358395554724,-536.6207248531456,2.0,0.9152539447906267,ok,4.08
2.2,1.2,105.0,6,10,True,-536.1360774490616,-536.6202375657998,2.0,0.9007474066969097,ok,4.08
2.2,1.2,125.0,6,10,True,-536.1340479337302,-536.6166647219352,1.9999999999999993,0.8678032210926205,ok,4.02
2.2,1.2,115.0,6,10,True,-536.1353636237978,-536.6187936726899,2.0,0.8853670035290926,ok,4.08
2.2,1.2,135.0,6,10,True,-536.1323843050097,-536.6140734688589,2.0,0.8464245108540791,ok,4.08
2.2,1.2,75.0,6,10,True,-536.1308399663818,-536.6182171948628,2.0000000000000004,0.958001158729915,ok,4.47
2.2,1.2,85.0,6,10,True,-536.1342236679722,-536.6200727501732,1.9999999999999998,0.9318405163901616,ok,4.55
2.2,1.25,105.0,6,10,True,-536.1236118975063,-536.6095086745189,1.9999999999999996,0.8985117574974083,ok,2.55
2.2,1.25,115.0,6,10,True,-536.1229776832859,-536.6081534472921,2.0000000000000004,0.8823868689985888,ok,2.46
2.2,1.25,135.0,6,10,True,-536.1201414164759,-536.6036201850492,2.0,0.8398705077109573,ok,3.89
2.2,1.25,125.0,6,10,True,-536.1217375855884,-536.6061253181609,2.000000000000001,0.863438032270032,ok,3.94
2.3,0.8,85.0,6,10,True,-536.1432333807901,-536.6099490155275,2.000000000000001,0.6753683255028861,ok,4.47
2.3,0.8,75.0,6,10,True,-536.1415137260777,-536.6086494371211,2.0,0.6766792378888159,ok,4.59
2.3,0.8,125.0,6,10,True,-536.1411947982754,-536.6055603902049,2.000000000000001,0.6625727218846451,ok,4.49
2.3,0.8,105.0,6,10,True,-536.1433841370086,-536.6091290349839,2.000000000000001,0.667393409389766,ok,4.59
2.3,0.8,95.0,6,10,True,-536.1437408366336,-536.6099914103359,1.9999999999999996,0.6717863539102151,ok,4.62
2.3,0.8,115.0,6,10,True,-536.1424552846004,-536.6075707802568,2.000000000000001,0.6639066716146946,ok,4.68
2.3,0.8,135.0,6,10,True,-536.139794867167,-536.6033333100402,1.9999999999999998,0.663227020589685,ok,4.58
2.3,0.85,85.0,6,10,True,-536.1641207243409,-536.6325618147334,1.9999999999999973,0.6804758294569114,ok,4.42
2.3,0.85,75.0,6,10,True,-536.1622325861925,-536.6311881471477,1.9999999999999996,0.6836813047427547,ok,4.61
2.3,0.9,115.0,6,10,True,-536.1743265176523,-536.6429043014361,1.9999999999999982,0.6678222479800062,ok,4.21
2.3,0.85,95.0,6,10,True,-536.1647328017388,-536.63267252322,2.000000000000001,0.6758278280312738,ok,4.5
2.3,0.9,95.0,6,10,True,-536.1754257596797,-536.6451307619037,1.9999999999999987,0.6791583950941104,ok,4.41
2.3,0.85,105.0,6,10,True,-536.1644374132038,-536.6318746086907,2.000000000000001,0.6706343022590178,ok,4.52
2.3,0.9,75.0,6,10,True,-536.1726721527771,-536.6435262274557,1.9999999999999993,0.6899953178395405,ok,4.51
2.3,0.95,135.0,6,10,True,-536.1750512197071,-536.6438024003575,1.9999999999999991,0.6579098815936459,ok,2.79
2.3,0.85,115.0,6,10,True,-536.1635404244421,-536.6303436929635,1.9999999999999996,0.6661935200365771,ok,4.64
2.3,0.95,85.0,6,10,True,-536.1778732950536,-536.6499487708933,2.0000000000000013,0.6884426078336472,ok,4.4
2.3,0.9,105.0,6,10,True,-536.1751902861217,-536.6443801657459,1.9999999999999991,0.673198094704454,ok,4.56
2.3,1.0,75.0,6,10,True,-536.1733727801211,-536.6481178125491,1.9999999999999993,0.7005241928218793,ok,2.75
2.3,0.85,135.0,6,10,True,-536.160885441119,-536.6261164640165,2.0,0.6621576119865465,ok,4.66
2.3,0.9,125.0,6,10,True,-536.1730909320719,-536.6409341888768,2.000000000000001,0.6636997650143046,ok,4.5
2.3,0.85,125.0,6,10,True,-536.16229077887,-536.6283778889476,2.000000000000001,0.6634688712149874,ok,4.81
2.3,0.95,95.0,6,10,True,-536.1786776482687,-536.6501878686612,1.9999999999999993,0.681749975784925,ok,4.55
2.3,0.95,75.0,6,10,True,-536.1756932377956,-536.6484882762131,2.0,0.6956141517445308,ok,4.61
2.3,0.9,135.0,6,10,True,-536.1716840072099,-536.6386651658819,2.000000000000001,0.6603796760155616,ok,4.63
2.3,0.95,105.0,6,10,True,-536.1785008939106,-536.6494911990317,1.9999999999999996,0.6750574367971698,ok,4.41
2.3,0.95,115.0,6,10,True,-536.1776721016649,-536.6480389666376,2.0,0.668764466928216,ok,4.49
